37 27 1
53 11 1
52 12 1
32 32 0
38 26 1
34 30 1
27 37 2
57 7 1
18 46 2
51 13 1
26 38 2
51 13 1
40 24 1
42 22 1
25 39 2
19 45 2
30 34 2
36 28 1
31 33 2
24 40 2
13 51 2
40 24 1
17 47 2
31 33 2
24 40 2
44 20 1
35 29 1
14 50 2
42 22 1
43 21 1
11 53 2
33 31 1
21 43 2
48 16 1
32 32 0
32 32 0
16 48 2
41 23 1
20 44 2
16 48 2
14 50 2
46 0 1
43 21 1
27 37 2
39 25 1
30 34 2
45 19 1
49 15 1
44 20 1
32 32 0
18 46 2
45 19 1
32 32 0
49 15 1
33 31 1
46 18 1
32 32 0
24 40 2
14 50 2
38 26 1
52 12 1
51 13 1
28 36 2
19 45 2
55 9 1
19 45 2
34 30 1
25 39 2
17 47 2
46 0 1
44 0 1
47 17 1
23 41 2
36 28 1
45 19 1
15 49 2
60 4 1
40 24 1
49 15 1
50 14 1
29 35 2
15 49 2
31 33 2
22 42 2
53 11 1
22 42 2
25 39 2
34 30 1
36 28 1
42 0 1
18 46 2
44 20 1
43 21 1
30 34 2
47 17 1
17 47 2
27 37 2
39 25 1
26 38 2
20 44 2
26 38 2
46 18 1
39 25 1
50 14 1
47 17 1
40 24 1
33 31 1
35 29 1
27 37 2
39 25 1
43 21 1
20 44 2
44 2 1
39 25 1
33 31 1
49 0 1
37 27 1
36 28 1
56 8 1
37 27 1
47 17 1
12 52 2
44 20 1
45 19 1
35 29 1
22 42 2
47 17 1
46 18 1
35 29 1
20 44 2
14 50 2
22 42 2
24 40 2
30 34 2
26 38 2
23 41 2
48 2 1
43 21 1
40 24 1
49 15 1
31 33 2
40 24 1
45 19 1
42 22 1
21 43 2
37 27 1
24 39 2
21 43 2
25 39 2
37 27 1
22 42 2
23 41 2
43 21 1
24 40 2
43 21 1
44 20 1
40 24 1
45 19 1
24 40 2
45 19 1
25 39 2
42 22 1
24 40 2
43 21 1
49 15 1
16 48 2
48 0 1
60 4 1
27 37 2
16 48 2
51 13 1
9 55 2
26 38 2
36 28 1
39 25 1
26 38 2
54 10 1
26 38 2
51 12 1
42 0 1
15 49 2
37 27 1
37 27 1
36 28 1
42 3 1
38 0 1
23 41 2
34 30 1
37 27 1
20 44 2
39 25 1
6 58 2
44 20 1
25 39 2
33 31 1
42 22 1
45 19 1
33 31 1
27 37 2
33 31 1
17 47 2
22 42 2
38 26 1
48 16 1
26 38 2
32 32 0
52 12 1
34 30 1
27 37 2
27 37 2
41 23 1
43 21 1
28 36 2
28 36 2
33 31 1
17 47 2
44 20 1
20 44 2
42 22 1
26 38 2
50 14 1
47 17 1
33 31 1
7 57 2
32 32 0
44 20 1
38 26 1
28 36 2
21 43 2
29 35 2
41 23 1
41 23 1
42 0 1
38 26 1
41 23 1
21 43 2
40 24 1
46 18 1
47 17 1
43 21 1
19 45 2
23 41 2
41 0 1
24 40 2
50 14 1
26 38 2
37 27 1
28 36 2
50 14 1
39 25 1
11 53 2
45 18 1
41 23 1
23 41 2
37 27 1
20 44 2
51 13 1
34 30 1
43 0 1
52 12 1
41 23 1
34 30 1
27 37 2
27 37 2
37 27 1
24 40 2
42 22 1
40 24 1
36 28 1
32 32 0
25 39 2
60 0 1
45 0 1
52 0 1
52 12 1
51 13 1
31 33 2
28 36 2
45 0 1
25 39 2
23 41 2
39 25 1
16 48 2
45 19 1
44 0 1
37 27 1
45 19 1
41 23 1
45 19 1
8 56 2
26 38 2
36 28 1
8 56 2
43 21 1
22 42 2
28 36 2
23 41 2
43 21 1
52 12 1
44 20 1
50 14 1
16 48 2
44 20 1
42 22 1
46 18 1
34 30 1
16 48 2
28 36 2
29 35 2
12 52 2
63 0 1
35 29 1
16 48 2
39 25 1
43 21 1
33 31 1
4 58 2
51 0 1
33 31 1
19 45 2
36 28 1
48 16 1
53 11 1
24 40 2
42 22 1
36 28 1
21 43 2
42 0 1
16 48 2
17 47 2
42 22 1
45 19 1
48 16 1
36 28 1
44 2 1
11 53 2
54 7 1
32 32 0
43 21 1
47 17 1
48 16 1
29 35 2
34 30 1
49 0 1
36 28 1
30 34 2
21 43 2
47 0 1
40 24 1
17 47 2
52 12 1
34 30 1
45 19 1
33 31 1
22 42 2
37 27 1
15 49 2
28 36 2
52 12 1
26 38 2
51 0 1
13 51 2
30 34 2
52 12 1
33 31 1
24 40 2
51 13 1
52 12 1
38 26 1
31 33 2
44 20 1
38 0 1
39 25 1
58 6 1
39 25 1
36 28 1
23 41 2
43 21 1
51 13 1
14 50 2
37 27 1
40 24 1
31 33 2
8 56 2
45 19 1
38 26 1
38 26 1
47 0 1
38 26 1
29 35 2
47 16 1
37 27 1
32 32 0
11 53 2
46 18 1
34 30 1
27 37 2
26 38 2
1 62 2
37 27 1
25 39 2
28 36 2
13 51 2
21 43 2
38 26 1
43 21 1
31 33 2
25 39 2
40 24 1
31 33 2
21 43 2
47 17 1
40 24 1
44 20 1
34 30 1
42 22 1
41 23 1
26 38 2
9 55 2
46 18 1
20 44 2
43 21 1
15 49 2
40 0 1
49 15 1
19 45 2
47 17 1
48 16 1
47 0 1
55 6 1
30 34 2
28 36 2
41 23 1
56 8 1
31 33 2
31 33 2
15 49 2
21 43 2
25 39 2
31 33 2
7 57 2
37 27 1
15 49 2
22 42 2
34 30 1
35 29 1
38 0 1
32 32 0
40 24 1
46 0 1
47 17 1
32 32 0
33 31 1
43 0 1
35 29 1
29 35 2
27 37 2
20 44 2
32 32 0
22 42 2
42 22 1
13 51 2
52 0 1
40 24 1
27 37 2
43 21 1
55 9 1
18 46 2
36 28 1
30 34 2
41 23 1
57 0 1
12 52 2
25 39 2
58 6 1
31 33 2
36 28 1
53 11 1
24 40 2
23 41 2
40 24 1
23 41 2
37 27 1
36 28 1
31 33 2
50 14 1
15 49 2
27 37 2
52 12 1
28 36 2
42 22 1
36 28 1
47 17 1
47 17 1
34 30 1
54 10 1
40 24 1
34 30 1
17 47 2
60 3 1
22 42 1
24 40 1
43 21 2
57 6 2
44 20 2
32 32 0
47 17 2
39 25 2
19 45 1
24 40 1
42 22 2
37 27 2
55 9 2
40 24 2
43 21 2
37 27 2
47 17 2
31 33 1
43 21 2
20 44 1
18 46 1
41 23 2
1 63 1
39 25 2
31 33 1
43 21 2
47 17 2
22 42 1
26 38 1
45 19 2
51 13 2
8 56 1
39 0 2
19 45 1
26 38 1
39 25 2
41 23 2
41 23 2
44 20 2
45 19 2
30 34 1
52 12 2
8 56 1
40 24 2
45 19 2
50 14 2
53 11 2
52 12 2
24 40 1
36 28 2
25 39 1
24 40 1
47 17 2
31 33 1
47 17 2
35 29 2
27 37 1
24 40 1
32 32 0
14 50 1
40 24 2
37 27 2
54 10 2
22 42 1
42 0 2
32 32 0
24 40 1
52 12 2
32 32 0
32 32 0
37 27 2
34 30 2
35 29 2
50 14 2
36 28 2
51 13 2
20 44 1
31 33 1
32 32 0
25 39 1
34 30 2
38 26 2
22 42 1
47 17 2
15 49 1
41 23 2
22 42 1
25 39 1
39 25 2
20 44 1
35 29 2
21 43 1
59 5 2
46 18 2
31 33 1
40 24 2
14 50 1
43 0 2
22 42 1
14 50 1
46 18 2
38 0 2
21 43 1
46 18 2
38 26 2
51 13 2
19 45 1
40 24 2
40 24 2
39 25 2
26 38 1
40 24 2
44 0 2
23 41 1
28 36 1
20 44 1
40 24 2
23 41 1
26 38 1
19 45 1
30 34 1
26 38 1
43 21 2
6 58 1
30 34 1
35 29 2
23 41 1
43 0 2
33 31 2
29 35 1
43 21 2
27 37 1
21 43 1
44 20 2
49 15 2
11 53 1
48 16 2
20 44 1
40 24 2
49 15 2
32 32 0
48 0 2
59 5 2
14 50 1
37 27 2
23 41 1
31 33 1
42 22 2
23 41 1
50 14 2
12 52 1
54 0 2
31 32 1
24 40 1
31 33 1
16 48 1
29 35 1
42 0 2
14 50 1
40 24 2
48 16 2
38 26 2
25 39 1
25 39 1
29 35 1
35 29 2
18 46 1
27 37 1
39 25 2
29 35 1
34 30 2
40 24 2
38 26 2
25 39 1
15 49 1
48 0 2
14 50 1
51 13 2
39 25 2
48 16 2
39 25 2
40 24 2
34 30 2
26 38 1
34 30 2
35 29 2
23 41 1
28 36 1
18 46 1
46 18 2
41 23 2
32 32 0
